"QW","S - Comp","NGD","WGD","Isc","Jsc (mA/cm2","Voc (V","FF (%","Efficiency (%"
"2","0.2","1000000000000","0.05","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","1000000000000","0.05","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","1000000000000","0.05","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","1000000000000","0.05","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","1000000000000","0.05","5.85E-10","29.26","0.800","86.03","20.13"
"20","0.2","1000000000000","0.05","6.94E-10","34.71","0.783","85.88","23.33"
"30","0.2","1000000000000","0.05","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","1000000000000","0.05","8.33E-10","41.63","0.763","85.36","27.11"
"70","0.2","1000000000000","0.05","8.77E-10","43.84","0.756","84.89","28.12"
"100","0.2","1000000000000","0.05","9.20E-10","46.01","0.748","84.66","29.12"
"2","0.2","10000000000000","0.05","4.07E-10","20.33","0.849","87.10","15.03"
"3","0.2","10000000000000","0.05","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","10000000000000","0.05","4.62E-10","23.08","0.823","86.38","16.41"
"5","0.2","10000000000000","0.05","4.86E-10","24.32","0.818","85.70","17.06"
"10","0.2","10000000000000","0.05","5.85E-10","29.26","0.800","86.03","20.13"
"20","0.2","10000000000000","0.05","6.94E-10","34.71","0.783","85.88","23.33"
"30","0.2","10000000000000","0.05","7.58E-10","37.91","0.773","85.57","25.09"
"50","0.2","10000000000000","0.05","8.33E-10","41.63","0.763","85.36","27.11"
"70","0.2","10000000000000","0.05","8.77E-10","43.84","0.756","84.89","28.12"
"100","0.2","10000000000000","0.05","9.20E-10","46.01","0.748","84.66","29.12"
"2","0.2","100000000000000","0.05","4.06E-10","20.32","0.849","87.10","15.03"
"3","0.2","100000000000000","0.05","4.34E-10","21.69","0.835","86.23","15.61"
"4","0.2","100000000000000","0.05","4.62E-10","23.08","0.823","86.38","16.41"
